,ZIPCODE,geometry,VENDOR TYPE
303,10018,POINT (987497.1198554008 214026.80946680193),STAND
304,10018,POINT (988816.584561226 213250.9753188988),GROCERY SUPERMARKET
305,10018,POINT (986842.3199988427 214839.1786688121),STAND
306,10018,POINT (984901.0508020876 214817.18389454042),GROCERY SUPERMARKET
307,10018,POINT (985980.7429395509 214230.66300201885),GROCERY SUPERMARKET
308,10018,POINT (985739.7032192453 214478.4018394698),GROCERY SUPERMARKET
309,10018,POINT (986610.189121801 214423.82319606122),OTHER
310,10018,POINT (988622.6048263101 213356.6010726455),CONVENIENCE STORE
311,10018,POINT (984983.9047181415 214860.91673027817),GROCERY SUPERMARKET
312,10018,POINT (986530.9895697044 214055.83254783388),GROCERY SUPERMARKET
313,10018,POINT (987763.8747748141 213568.39368151844),GROCERY SUPERMARKET
314,10018,POINT (986842.3199988427 214839.1786688121),STAND
315,10018,POINT (988816.584561226 213250.9753188988),GROCERY SUPERMARKET
316,10018,POINT (987473.23620021 214281.82916323058),GROCERY SUPERMARKET
317,10018,POINT (986645.4098352425 214263.51744141386),GROCERY SUPERMARKET
318,10018,POINT (986437.9293679312 213884.58227521784),STAND
319,10018,POINT (987763.8747748141 213568.39368151844),STAND
320,10018,POINT (985602.845550994 214234.28814849004),GROCERY SUPERMARKET
321,10018,POINT (988623.600261912 212471.27454811198),GROCERY SUPERMARKET
322,10018,POINT (984889.4191811337 214726.10409370973),CONVENIENCE/GAS
323,10018,POINT (987867.618799357 213938.64605481896),GROCERY SUPERMARKET
324,10018,POINT (986842.3199988427 214839.1786688121),STAND
325,10018,POINT (986826.5728932734 214427.47905663503),CONVENIENCE STORE
326,10018,POINT (985948.0098095412 215079.5558337428),GROCERY SUPERMARKET
327,10018,POINT (987826.8379529978 213837.39822570348),GROCERY SUPERMARKET
328,10018,POINT (986842.3199988427 214839.1786688121),STAND
329,10018,POINT (987622.1324516134 213316.3601502543),GROCERY SUPERMARKET
330,10018,POINT (986351.4651062718 213957.4535051481),GROCERY SUPERMARKET
331,10018,POINT (986844.2933842264 214624.2219549398),GROCERY SUPERMARKET
332,10018,POINT (986009.2294360246 214973.91431254995),CONVENIENCE STORE
333,10018,POINT (987497.1198554008 214026.80946680193),GROCERY SUPERMARKET
334,10018,POINT (985928.8777546188 215043.12270172333),CONVENIENCE STORE
335,10018,POINT (986480.5144459424 214876.51522301426),GROCERY SUPERMARKET
336,10018,POINT (985677.6363249788 214376.38574040154),GROCERY SUPERMARKET
337,10018,POINT (988112.1430580773 213349.4941535923),GROCERY SUPERMARKET
338,10018,POINT (986821.041480655 214689.81536558806),STAND
339,10018,POINT (987960.5978995021 214161.6705287386),STAND
340,10018,POINT (988556.480240728 212879.3110139605),GROCERY SUPERMARKET
341,10018,POINT (987833.2085290322 213629.72532943852),TOBACCO RETAIL
342,10018,POINT (987369.7035518305 213800.90337537508),STAND
343,10018,POINT (986446.4604135741 214562.25162535583),CONVENIENCE STORE
344,10018,POINT (986829.040063791 214591.4380535674),GROCERY SUPERMARKET
